                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
45,0.95758,0.56264,1.3616,0.97977,0.95983,0.9907,0.76108,0.85434,0.39594,1.149,0.0014777,0.0014777,0.0014777
46,0.94299,0.54951,1.3455,0.98236,0.95645,0.98977,0.76056,0.87287,0.40209,1.1582,0.0014655,0.0014655,0.0014655
47,0.94475,0.55231,1.3461,0.98035,0.95773,0.98933,0.75773,0.86359,0.40733,1.1446,0.0014534,0.0014534,0.0014534
48,0.95122,0.55944,1.348,0.97368,0.96962,0.99104,0.76686,0.86678,0.39149,1.1417,0.0014412,0.0014412,0.0014412
49,0.93254,0.54124,1.3316,0.97782,0.96565,0.98998,0.76104,0.87245,0.40249,1.1595,0.0014291,0.0014291,0.0014291
50,0.93512,0.53902,1.3398,0.97719,0.96218,0.99098,0.75624,0.86589,0.40935,1.1503,0.0014169,0.0014169,0.0014169
51,0.93519,0.53961,1.3391,0.98188,0.96169,0.99087,0.76892,0.85497,0.39472,1.1441,0.0014048,0.0014048,0.0014048
52,0.92913,0.53031,1.3235,0.98134,0.95773,0.9893,0.77015,0.82978,0.38252,1.1284,0.0013926,0.0013926,0.0013926
53,0.91076,0.52341,1.3157,0.9746,0.9631,0.98941,0.76604,0.83852,0.39444,1.1314,0.0013805,0.0013805,0.0013805
54,0.92396,0.51839,1.3195,0.97725,0.96453,0.99001,0.77143,0.84204,0.3901,1.1266,0.0013683,0.0013683,0.0013683
55,0.91235,0.51122,1.314,0.96703,0.98811,0.99282,0.77282,0.83722,0.3752,1.1296,0.0013562,0.0013562,0.0013562
56,0.91451,0.51503,1.3235,0.98279,0.96037,0.99031,0.75791,0.84406,0.38947,1.1358,0.001344,0.001344,0.001344
57,0.90926,0.50233,1.318,0.96482,0.98547,0.99336,0.76435,0.84784,0.3776,1.1338,0.0013319,0.0013319,0.0013319
58,0.90712,0.5041,1.3166,0.98468,0.96433,0.99175,0.76514,0.84776,0.38062,1.135,0.0013198,0.0013198,0.0013198
59,0.91322,0.5172,1.3212,0.9798,0.96121,0.99166,0.76911,0.84744,0.37716,1.1258,0.0013076,0.0013076,0.0013076
60,0.89886,0.50167,1.3004,0.97588,0.9622,0.99099,0.77109,0.84445,0.37046,1.13,0.0012955,0.0012955,0.0012955
61,0.89247,0.49753,1.3054,0.97724,0.96421,0.99061,0.77109,0.84588,0.37356,1.1357,0.0012833,0.0012833,0.0012833
62,0.88388,0.48957,1.295,0.97628,0.96697,0.99134,0.77476,0.82772,0.36413,1.1159,0.0012712,0.0012712,0.0012712
63,0.90217,0.49853,1.3069,0.97814,0.96037,0.99128,0.78103,0.82696,0.36223,1.1171,0.001259,0.001259,0.001259
64,0.88273,0.48366,1.2972,0.98193,0.96697,0.99078,0.77435,0.83646,0.36264,1.1275,0.0012469,0.0012469,0.0012469
65,0.88374,0.48655,1.3028,0.98126,0.96812,0.99152,0.77361,0.83733,0.36688,1.1269,0.0012347,0.0012347,0.0012347
66,0.87959,0.48084,1.2917,0.98002,0.96565,0.98972,0.77747,0.83854,0.36025,1.1269,0.0012226,0.0012226,0.0012226
67,0.88172,0.47815,1.2885,0.98048,0.9683,0.99227,0.77892,0.82876,0.35973,1.1111,0.0012104,0.0012104,0.0012104
68,0.86069,0.47015,1.2896,0.97833,0.96697,0.99148,0.76384,0.82717,0.36314,1.1207,0.0011983,0.0011983,0.0011983
69,0.87451,0.4711,1.284,0.97747,0.97441,0.9923,0.78231,0.81861,0.35359,1.116,0.0011861,0.0011861,0.0011861
70,0.87047,0.4711,1.2846,0.98151,0.97226,0.99289,0.77642,0.83746,0.35102,1.1264,0.001174,0.001174,0.001174
71,0.86296,0.46846,1.2785,0.98262,0.96697,0.99212,0.7815,0.83379,0.34871,1.1154,0.0011618,0.0011618,0.0011618
72,0.85989,0.45845,1.2739,0.98205,0.96697,0.99091,0.78006,0.81892,0.34403,1.1093,0.0011497,0.0011497,0.0011497
73,0.86199,0.45634,1.2762,0.98518,0.96578,0.99198,0.77923,0.83937,0.35397,1.1209,0.0011375,0.0011375,0.0011375
74,0.85133,0.45671,1.2707,0.98388,0.96741,0.99287,0.77947,0.82393,0.34748,1.1159,0.0011254,0.0011254,0.0011254
75,0.85971,0.45661,1.2769,0.97997,0.96965,0.99309,0.78098,0.81611,0.34579,1.118,0.0011133,0.0011133,0.0011133
76,0.85794,0.45657,1.2749,0.97765,0.97094,0.9923,0.78027,0.83875,0.35673,1.1305,0.0011011,0.0011011,0.0011011
77,0.84631,0.44975,1.27,0.9865,0.96548,0.99209,0.78698,0.81576,0.34355,1.1176,0.001089,0.001089,0.001089
78,0.84559,0.44898,1.266,0.97872,0.97205,0.99302,0.786,0.81443,0.33957,1.1085,0.0010768,0.0010768,0.0010768
79,0.84489,0.44626,1.2694,0.97477,0.96987,0.99085,0.78413,0.81895,0.34495,1.1155,0.0010647,0.0010647,0.0010647
80,0.84191,0.44122,1.2638,0.98207,0.97226,0.99261,0.77613,0.81559,0.3434,1.1111,0.0010525,0.0010525,0.0010525
81,0.83618,0.43547,1.2599,0.98367,0.97094,0.99326,0.78299,0.81478,0.33826,1.1078,0.0010404,0.0010404,0.0010404
82,0.83121,0.43241,1.2484,0.98384,0.96482,0.99285,0.77751,0.8258,0.34145,1.1151,0.0010282,0.0010282,0.0010282
83,0.82908,0.43487,1.2531,0.98284,0.96962,0.99259,0.78718,0.80967,0.33497,1.1058,0.0010161,0.0010161,0.0010161
84,0.82502,0.43399,1.2524,0.97809,0.97226,0.99246,0.78559,0.81426,0.33402,1.1036,0.0010039,0.0010039,0.0010039
85,0.81566,0.43315,1.2463,0.98016,0.96565,0.99224,0.78063,0.80759,0.34064,1.1061,0.00099178,0.00099178,0.00099178
86,0.82316,0.43669,1.2468,0.97723,0.97094,0.99168,0.78826,0.81257,0.34362,1.1062,0.00097963,0.00097963,0.00097963
87,0.82302,0.42825,1.2438,0.98381,0.96347,0.99191,0.79354,0.8093,0.34148,1.1008,0.00096748,0.00096748,0.00096748
88,0.82039,0.42266,1.2396,0.97734,0.97886,0.99258,0.78849,0.80768,0.33259,1.1039,0.00095534,0.00095534,0.00095534
89,0.8268,0.42649,1.2441,0.98019,0.9683,0.99003,0.784,0.80919,0.33967,1.101,0.00094319,0.00094319,0.00094319
90,0.81654,0.42236,1.2433,0.98107,0.97094,0.99292,0.78798,0.81661,0.33764,1.1062,0.00093104,0.00093104,0.00093104
91,0.80392,0.42056,1.2331,0.9767,0.97622,0.9925,0.7882,0.80969,0.32827,1.1026,0.0009189,0.0009189,0.0009189
92,0.81172,0.42081,1.2359,0.98128,0.96947,0.99221,0.78466,0.81452,0.33005,1.1073,0.00090675,0.00090675,0.00090675
93,0.80374,0.41442,1.2273,0.97204,0.98018,0.99209,0.78987,0.80987,0.33227,1.0989,0.0008946,0.0008946,0.0008946
94,0.80131,0.41032,1.2274,0.97464,0.97358,0.99233,0.78524,0.80362,0.33792,1.0997,0.00088245,0.00088245,0.00088245
95,0.8086,0.41778,1.2342,0.98511,0.96151,0.99234,0.78699,0.81096,0.33055,1.1039,0.00087031,0.00087031,0.00087031
96,0.81075,0.41069,1.2354,0.97747,0.97438,0.99284,0.79436,0.80445,0.32663,1.0994,0.00085816,0.00085816,0.00085816
97,0.81255,0.41971,1.2359,0.98129,0.97013,0.99278,0.78335,0.80189,0.32721,1.0993,0.00084601,0.00084601,0.00084601
98,0.79526,0.40721,1.2237,0.97361,0.97454,0.99207,0.78948,0.81161,0.32527,1.0981,0.00083387,0.00083387,0.00083387
99,0.79969,0.40678,1.2235,0.98499,0.96697,0.99274,0.7902,0.80815,0.32369,1.0973,0.00082172,0.00082172,0.00082172
100,0.79738,0.40376,1.2229,0.98667,0.96169,0.99293,0.7951,0.80503,0.3258,1.0949,0.00080957,0.00080957,0.00080957
101,0.78479,0.39832,1.2182,0.97932,0.97226,0.99315,0.79701,0.79902,0.32343,1.0901,0.00079742,0.00079742,0.00079742
102,0.78771,0.39938,1.2191,0.97745,0.97346,0.99287,0.79694,0.79771,0.31941,1.09,0.00078528,0.00078528,0.00078528
103,0.7972,0.40401,1.2229,0.97482,0.97157,0.99038,0.79389,0.79449,0.32641,1.0924,0.00077313,0.00077313,0.00077313
104,0.788,0.39446,1.2187,0.98155,0.96697,0.99263,0.79357,0.80111,0.32203,1.0954,0.00076098,0.00076098,0.00076098
105,0.79875,0.3977,1.2261,0.98297,0.97094,0.99305,0.79549,0.80492,0.325,1.1018,0.00074883,0.00074883,0.00074883
106,0.77381,0.3896,1.2101,0.98004,0.97275,0.99263,0.78884,0.80414,0.32122,1.1012,0.00073669,0.00073669,0.00073669
107,0.78674,0.39033,1.2231,0.97859,0.96626,0.99093,0.79335,0.80829,0.31841,1.0957,0.00072454,0.00072454,0.00072454
108,0.7877,0.39601,1.2171,0.97306,0.97358,0.99202,0.79103,0.80392,0.31847,1.0945,0.00071239,0.00071239,0.00071239
109,0.78212,0.39449,1.2182,0.98305,0.96565,0.99275,0.79577,0.80598,0.31887,1.0948,0.00070025,0.00070025,0.00070025
110,0.77942,0.38849,1.2118,0.98117,0.96342,0.9916,0.79357,0.8019,0.32004,1.0953,0.0006881,0.0006881,0.0006881
111,0.77148,0.39006,1.2084,0.97475,0.96873,0.99145,0.79308,0.8029,0.31954,1.0955,0.00067595,0.00067595,0.00067595
112,0.76663,0.38495,1.2042,0.98074,0.96433,0.99213,0.79236,0.80302,0.32357,1.0912,0.0006638,0.0006638,0.0006638
