                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1514,                0.81049,                 1.4914,                0.93113,                0.87747,                0.95458,                0.65751,                 1.1207,                0.63829,                 1.4381,              0.0015991,              0.0015991,              0.0015991
                     36,                 1.1422,                 0.8062,                 1.4781,                0.96811,                0.88142,                0.96433,                0.66841,                 1.0678,                0.63002,                 1.3924,               0.001587,               0.001587,               0.001587
                     37,                 1.1314,                0.80559,                 1.4832,                0.94695,                0.91502,                 0.9676,                 0.6783,                 1.0611,                0.64634,                 1.3762,              0.0015748,              0.0015748,              0.0015748
                     38,                   1.13,                0.80133,                 1.4704,                0.95606,                0.90308,                0.96619,                0.65687,                 1.0726,                0.67964,                 1.3733,              0.0015627,              0.0015627,              0.0015627
                     39,                 1.1061,                0.78454,                 1.4502,                 0.9446,                0.91502,                0.96345,                0.65562,                 1.0647,                 0.6431,                 1.3539,              0.0015506,              0.0015506,              0.0015506
                     40,                 1.1187,                0.78268,                 1.4647,                0.96847,                0.91057,                0.97466,                 0.6953,                 1.0117,                0.60024,                 1.3133,              0.0015384,              0.0015384,              0.0015384
                     41,                 1.0977,                0.75721,                 1.4487,                0.96018,                0.90541,                0.96967,                0.69274,                 1.0461,                0.58471,                 1.3448,              0.0015263,              0.0015263,              0.0015263
                     42,                 1.0924,                0.75835,                 1.4465,                0.96656,                0.91393,                0.97802,                0.66281,                 1.1681,                 0.6285,                 1.4534,              0.0015141,              0.0015141,              0.0015141
                     43,                 1.1105,                 0.7542,                 1.4452,                0.96051,                 0.9133,                 0.9709,                0.71173,                0.98324,                0.55292,                 1.2974,               0.001502,               0.001502,               0.001502
                     44,                 1.0765,                0.73493,                 1.4299,                0.92602,                0.91533,                0.96409,                0.69552,                0.98499,                0.60298,                 1.3104,              0.0014898,              0.0014898,              0.0014898
                     45,                 1.0745,                0.73657,                 1.4335,                0.95948,                0.93083,                0.97726,                0.69466,                 0.9983,                0.56968,                 1.2958,              0.0014777,              0.0014777,              0.0014777
                     46,                 1.0683,                0.73271,                 1.4278,                0.94478,                0.91296,                0.96721,                0.65964,                 1.0671,                 0.5976,                 1.3654,              0.0014655,              0.0014655,              0.0014655
                     47,                  1.058,                 0.7089,                 1.4119,                0.96865,                0.93281,                 0.9784,                0.70877,                0.97343,                0.53494,                 1.2781,              0.0014534,              0.0014534,              0.0014534
                     48,                 1.0267,                0.68554,                 1.3874,                0.95174,                0.92095,                0.97349,                0.70843,                0.96958,                0.56497,                  1.278,              0.0014412,              0.0014412,              0.0014412
                     49,                 1.0318,                0.68844,                 1.3933,                0.95311,                0.92387,                0.97444,                0.71993,                0.94353,                0.52534,                 1.2539,              0.0014291,              0.0014291,              0.0014291
                     50,                 1.0474,                0.69592,                 1.4027,                0.95866,                0.91663,                0.97205,                0.69602,                 1.0146,                0.56201,                 1.3004,              0.0014169,              0.0014169,              0.0014169
                     51,                 1.0339,                0.68129,                 1.3912,                0.95805,                0.94269,                 0.9802,                 0.7167,                0.96678,                0.55502,                   1.27,              0.0014048,              0.0014048,              0.0014048
                     52,                 1.0205,                0.68066,                 1.3823,                0.97105,                0.92815,                0.98316,                  0.722,                0.94753,                0.51726,                 1.2341,              0.0013926,              0.0013926,              0.0013926
                     53,                 1.0297,                 0.6904,                 1.3938,                0.93134,                0.96047,                0.97788,                0.71036,                0.92975,                0.54483,                 1.2538,              0.0013805,              0.0013805,              0.0013805
                     54,                 1.0069,                0.67964,                 1.3812,                 0.9732,                0.93285,                 0.9845,                0.72768,                0.91277,                0.48506,                 1.2162,              0.0013683,              0.0013683,              0.0013683
                     55,                 1.0179,                0.67722,                 1.3745,                0.92025,                0.93497,                0.97577,                0.71327,                0.94938,                0.52261,                 1.2599,              0.0013562,              0.0013562,              0.0013562
                     56,                0.99984,                0.65948,                 1.3627,                0.96201,                0.94664,                 0.9877,                0.73053,                0.95641,                0.47827,                 1.2484,               0.001344,               0.001344,               0.001344
                     57,                 0.9989,                0.66168,                 1.3572,                0.97033,                  0.917,                0.98173,                0.73324,                0.90617,                0.49435,                 1.2226,              0.0013319,              0.0013319,              0.0013319
                     58,                 1.0062,                0.65189,                 1.3612,                0.96758,                0.94386,                0.98594,                0.73661,                0.91019,                 0.4679,                 1.2367,              0.0013198,              0.0013198,              0.0013198
                     59,                0.98874,                0.63508,                  1.352,                0.95316,                0.96245,                0.98458,                0.73668,                0.89217,                0.46911,                 1.1963,              0.0013076,              0.0013076,              0.0013076
                     60,                0.98706,                 0.6342,                 1.3462,                0.94329,                0.95257,                 0.9803,                0.71952,                0.95367,                 0.4959,                 1.2433,              0.0012955,              0.0012955,              0.0012955
                     61,                0.96886,                0.63086,                 1.3299,                 0.9481,                0.95059,                0.98163,                0.73003,                0.92361,                0.49213,                 1.2171,              0.0012833,              0.0012833,              0.0012833
                     62,                0.97192,                0.64017,                 1.3458,                0.96501,                0.92655,                0.97894,                0.71666,                 0.9562,                 0.5033,                 1.2651,              0.0012712,              0.0012712,              0.0012712
                     63,                0.97331,                0.63063,                 1.3426,                0.96039,                0.96443,                0.98756,                0.74477,                0.91292,                  0.464,                 1.1927,               0.001259,               0.001259,               0.001259
                     64,                0.94824,                0.61344,                 1.3292,                0.94892,                0.95463,                0.98431,                0.72897,                0.90736,                0.48096,                 1.2145,              0.0012469,              0.0012469,              0.0012469
                     65,                0.96096,                0.61678,                 1.3325,                0.96332,                0.96047,                0.98841,                0.74358,                0.88274,                0.45826,                 1.1835,              0.0012347,              0.0012347,              0.0012347
                     66,                  0.951,                 0.6131,                 1.3222,                0.95857,                 0.9603,                0.98199,                0.73531,                0.91254,                0.48431,                 1.2069,              0.0012226,              0.0012226,              0.0012226
                     67,                0.94296,                0.60076,                  1.312,                0.95408,                0.97431,                0.99028,                 0.7327,                0.92643,                0.46306,                 1.2349,              0.0012104,              0.0012104,              0.0012104
                     68,                0.93919,                0.60278,                 1.3231,                0.95291,                0.95979,                0.97844,                0.72905,                 0.9021,                0.48804,                 1.2178,              0.0011983,              0.0011983,              0.0011983
                     69,                0.94856,                0.59426,                 1.3034,                0.96812,                0.96032,                0.98827,                0.75617,                0.83281,                0.43159,                 1.1435,              0.0011861,              0.0011861,              0.0011861
                     70,                0.92603,                 0.5919,                 1.2988,                0.97062,                 0.9664,                0.98685,                0.74927,                0.88576,                0.45921,                 1.1794,               0.001174,               0.001174,               0.001174
                     71,                0.93375,                0.58243,                 1.3035,                0.96417,                 0.9573,                0.98431,                0.74825,                0.84954,                0.45244,                 1.1759,              0.0011618,              0.0011618,              0.0011618
                     72,                0.92947,                0.57779,                 1.2955,                0.97603,                0.96569,                0.98785,                0.74781,                 0.8771,                0.44666,                 1.1857,              0.0011497,              0.0011497,              0.0011497
                     73,                0.91035,                0.57424,                 1.2958,                0.97777,                0.95626,                   0.99,                0.75514,                0.85984,                0.43354,                 1.1659,              0.0011375,              0.0011375,              0.0011375
                     74,                 0.9087,                0.56791,                 1.2916,                0.98298,                0.95652,                0.99199,                0.75428,                0.87292,                0.42241,                 1.1841,              0.0011254,              0.0011254,              0.0011254
                     75,                0.91365,                0.56256,                 1.2819,                0.97229,                 0.9664,                0.98476,                0.73953,                0.90473,                0.44311,                 1.2029,              0.0011133,              0.0011133,              0.0011133
                     76,                0.90249,                0.56516,                 1.2866,                 0.9723,                0.97106,                0.99009,                 0.7573,                0.84992,                0.42441,                  1.158,              0.0011011,              0.0011011,              0.0011011
                     77,                0.89491,                  0.557,                 1.2801,                0.96799,                0.97233,                0.98991,                0.75354,                0.83652,                0.41427,                 1.1509,               0.001089,               0.001089,               0.001089
                     78,                0.90366,                0.55615,                 1.2836,                0.97002,                0.97431,                0.98793,                 0.7516,                0.84918,                0.42594,                 1.1508,              0.0010768,              0.0010768,              0.0010768
                     79,                0.90109,                0.56336,                 1.2767,                0.97022,                0.96573,                0.99021,                0.74772,                0.85838,                 0.4251,                 1.1687,              0.0010647,              0.0010647,              0.0010647
                     80,                0.88671,                0.54284,                 1.2662,                0.96866,                0.97723,                0.99004,                  0.757,                0.84819,                0.42397,                 1.1626,              0.0010525,              0.0010525,              0.0010525
                     81,                0.87949,                0.54147,                 1.2664,                0.96678,                0.97036,                0.98258,                0.74865,                0.85809,                0.43316,                 1.1733,              0.0010404,              0.0010404,              0.0010404
                     82,                0.87625,                0.53726,                 1.2626,                0.96803,                0.97628,                 0.9894,                0.75733,                0.83803,                0.42921,                 1.1462,              0.0010282,              0.0010282,              0.0010282
                     83,                0.88125,                0.53574,                 1.2768,                0.97693,                0.98221,                0.99093,                 0.7542,                 0.8577,                0.42829,                 1.1633,              0.0010161,              0.0010161,              0.0010161
                     84,                0.88911,                0.54323,                 1.2665,                0.96121,                0.97932,                0.98998,                0.75838,                0.84152,                0.41662,                  1.144,              0.0010039,              0.0010039,              0.0010039
                     85,                0.86685,                0.52904,                 1.2582,                0.97533,                0.97233,                0.99051,                0.76539,                0.82518,                0.39229,                 1.1281,             0.00099178,             0.00099178,             0.00099178
                     86,                0.86984,                0.52597,                 1.2595,                0.97808,                0.96983,                0.98852,                0.76002,                0.85146,                0.40563,                 1.1528,             0.00097963,             0.00097963,             0.00097963
                     87,                0.87271,                0.53016,                 1.2596,                0.97219,                0.96712,                0.99173,                0.76406,                0.84535,                0.40682,                 1.1421,             0.00096748,             0.00096748,             0.00096748
                     88,                 0.8547,                0.52706,                 1.2495,                0.97551,                0.97628,                0.99195,                0.76248,                0.84313,                0.40997,                 1.1485,             0.00095534,             0.00095534,             0.00095534
                     89,                0.84784,                0.51548,                 1.2401,                0.97807,                 0.9697,                0.99046,                0.75644,                0.84361,                0.41364,                 1.1452,             0.00094319,             0.00094319,             0.00094319
                     90,                 0.8673,                0.51848,                 1.2497,                0.97804,                0.96811,                0.98759,                0.76652,                0.83658,                0.39758,                 1.1362,             0.00093104,             0.00093104,             0.00093104
