                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                0.69037,                0.38214,                 1.1312,                 0.9809,                0.98024,                0.99175,                0.78531,                0.77656,                0.34077,                 1.0874,             0.00017791,             0.00017791,             0.00017791
                    153,                0.70064,                0.38263,                 1.1344,                0.98608,                0.98011,                0.99152,                0.78856,                0.77651,                0.33538,                  1.084,             0.00016577,             0.00016577,             0.00016577
                    154,                0.63203,                0.32682,                 1.0971,                0.98217,                 0.9797,                0.99144,                0.78604,                0.78031,                0.34941,                 1.1005,             0.00015362,             0.00015362,             0.00015362
                    155,                0.61353,                0.29591,                 1.0857,                0.98375,                0.97826,                0.99202,                0.78961,                0.78146,                0.34271,                  1.098,             0.00014147,             0.00014147,             0.00014147
                    156,                0.61328,                0.29714,                 1.0803,                0.98656,                0.97826,                0.99237,                0.78797,                 0.7843,                0.34249,                 1.0944,             0.00012933,             0.00012933,             0.00012933
                    157,                0.61798,                0.29727,                 1.0842,                0.98278,                0.98024,                 0.9924,                0.78993,                0.77913,                0.34152,                  1.091,             0.00011718,             0.00011718,             0.00011718
                    158,                0.60942,                0.29343,                 1.0798,                0.97831,                0.98075,                0.99132,                0.79167,                0.77908,                0.34694,                 1.0875,             0.00010503,             0.00010503,             0.00010503
                    159,                0.59658,                0.28185,                 1.0686,                0.98128,                0.98024,                 0.9925,                0.79333,                0.77085,                0.34403,                 1.0835,             9.2883e-05,             9.2883e-05,             9.2883e-05
                    160,                0.60126,                0.29024,                 1.0715,                0.98608,                0.97987,                0.99237,                0.79312,                0.77402,                0.33982,                  1.084,             8.0736e-05,             8.0736e-05,             8.0736e-05
                    161,                0.60666,                0.28671,                 1.0732,                0.98527,                0.98024,                 0.9922,                 0.7925,                  0.775,                 0.3336,                 1.0856,             6.8589e-05,             6.8589e-05,             6.8589e-05
                    162,                0.58943,                0.28299,                  1.067,                0.98285,                0.97826,                0.99155,                0.79777,                0.76976,                0.33637,                 1.0815,             5.6442e-05,             5.6442e-05,             5.6442e-05
                    163,                 0.5938,                0.28633,                 1.0613,                0.98293,                0.97826,                0.99173,                0.79544,                0.77187,                0.34026,                 1.0841,             4.4294e-05,             4.4294e-05,             4.4294e-05
